City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lethem,GY,78.71,light rain,3.3803,-59.7968,Savannah Inn
3,Alyangula,AU,75.07,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
4,Yen Bai,VN,75.16,overcast clouds,21.7,104.8667,AK MOTEL
5,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Rikitea,PF,76.37,broken clouds,-23.1203,-134.9692,People ThankYou
12,Butaritari,KI,81.82,few clouds,3.0707,172.7902,Isles Sunset Lodge
17,Kloulklubed,PW,75.7,moderate rain,7.0419,134.2556,Storyboard Beach Resort
19,Banjar,ID,77.67,overcast clouds,-8.19,114.9675,The Hamsa Resort
39,Kibala,TD,87.75,clear sky,9.1104,18.3463,hotel safari
40,Fare,PF,81.84,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
50,Atuona,PF,78.6,clear sky,-9.8,-139.0333,Villa Enata
52,Labuhan,ID,78.67,overcast clouds,-6.8844,112.2051,DoubleFAG
54,Georgetown,MY,82.33,light rain,5.4112,100.3354,Cititel Penang
59,Hithadhoo,MV,81.97,heavy intensity rain,-0.6,73.0833,Scoop Guest House
63,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
67,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
72,Machiques,VE,86.05,scattered clouds,10.0644,-72.545,hotel el markes
78,Avarua,CK,86.05,scattered clouds,-21.2078,-159.775,Paradise Inn
87,Faanui,PF,82.11,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
100,San Fernando,PH,80.33,scattered clouds,15.0286,120.6898,Maharlika Hostel
104,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
105,Sawakin,SD,80.8,clear sky,19.1059,37.3321,فندق الدويم
106,Coahuayana,MX,86.38,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
107,Cotonou,BJ,84.18,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
108,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
113,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
114,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
118,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
120,Muisne,EC,78.37,overcast clouds,0.6,-80.0333,Quinta Samay
124,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
125,Abu Zabad,SD,87.01,overcast clouds,12.35,29.25,حامد محمد نور
132,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
134,Caraballeda,VE,87.37,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
137,Rayong,TH,82.96,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
138,Biak,ID,77.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
143,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
148,Vilhena,BR,84.42,few clouds,-12.7406,-60.1458,Hotel Mirage
149,Jibuti,DJ,80.01,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
154,Samarai,PG,83.05,broken clouds,-10.6167,150.6667,Nuli Sapi
156,Bandarbeyla,SO,82.47,light rain,9.4942,50.8122,JABIR HOTEL
159,Canto Do Buriti,BR,80.24,broken clouds,-8.11,-42.9444,Novo Hotel
162,Victoria,HK,77.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
172,Kokoda,PG,79.75,broken clouds,-8.8785,147.7407,Daito Guest House
173,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
181,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
184,Odweyne,SO,78.8,overcast clouds,9.4092,45.064,Eng Hiirey House
188,Namatanai,PG,83.26,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
192,Sao Felix Do Xingu,BR,77.9,broken clouds,-6.6447,-51.995,Rio Xingu Camping
195,High Rock,BS,82.42,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
202,El Tumbador,GT,79.47,overcast clouds,14.8667,-91.9333,Caserío El Recuerdo
208,Salinopolis,BR,76.24,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
213,Tupsan,PH,80.08,overcast clouds,9.1992,124.7769,Algen's Dive Resort
226,Pangai,TO,78.91,few clouds,-19.8,-174.35,Ha'apai Beach Resort
228,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
235,Kiunga,PG,76.77,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
236,Sur,OM,87.93,clear sky,22.5667,59.5289,Sur Plaza Hotel
240,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
242,Sao Desiderio,BR,79.38,broken clouds,-12.3633,-44.9733,Pousada do Luizão
244,Diu,IN,80.33,clear sky,20.7141,70.9822,Hotel Relax Inn
246,Abeche,TD,87.76,clear sky,13.8292,20.8324,Assaleh Hamdan Haroune
250,Daru,PG,81.95,broken clouds,-9.0763,143.2092,Daru Lodge
251,Guanica,PR,85.98,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
255,Ormara,PK,81.07,clear sky,25.2088,64.6357,Kenara Colony house for Rent
263,Great Bend,US,85.03,clear sky,38.3645,-98.7648,Best Western Angus Inn
270,Gambela,ET,78.35,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
273,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
275,Bosaso,SO,82.89,clear sky,11.2842,49.1816,Red Sea Hotel
285,San Nicolas,PH,78.71,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
289,Tonantins,BR,78.12,broken clouds,-2.8731,-67.8022,Hotel Hortensias
291,Wewak,PG,80.33,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
292,Russell,US,80.96,few clouds,32.3502,-85.1999,Macs
296,Port Blair,IN,77.04,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
297,Bengkulu,ID,77.0,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
299,The Valley,AI,84.06,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
301,Cairns,AU,77.07,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
303,Mahibadhoo,MV,84.02,overcast clouds,3.7833,72.9667,Omadhoo Inn
304,Spanish Town,JM,84.7,broken clouds,17.9911,-76.9574,Shan's Cloud
308,Kirakira,SB,83.48,overcast clouds,-10.4544,161.9205,SanBiz Lodge
312,Alta Floresta,BR,78.13,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
315,Itarema,BR,77.22,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
318,Touros,BR,79.14,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
324,Kuala Terengganu,MY,80.55,thunderstorm,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
325,Asyut,EG,82.58,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
326,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
332,Mitsamiouli,KM,81.03,scattered clouds,-11.3847,43.2844,Foyer ADM
333,Mangrol,IN,81.12,clear sky,21.1167,70.1167,Hotel The Royal Honours
334,Kavaratti,IN,85.01,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
336,Auki,SB,81.81,overcast clouds,-8.7676,160.7034,Auki Motel
337,Acajutla,SV,85.73,broken clouds,13.5928,-89.8275,Laureles
339,El Tigre,VE,85.12,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
340,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,Fengshui Residence
345,Petionville,HT,85.69,few clouds,18.5125,-72.2853,Hotel NH Haiti El Rancho
347,Dingle,PH,78.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
351,Porto Novo,BJ,84.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
355,Srivardhan,IN,82.44,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
358,Lorengau,PG,84.65,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
359,Sao Jose De Ribamar,BR,79.18,heavy intensity rain,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
368,Sao Jose Da Coroa Grande,BR,76.93,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
371,Jatara,IN,86.43,clear sky,25.0167,79.05,Sohil - Mark
374,Sao Miguel Do Araguaia,BR,80.06,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
377,Kapoeta,SS,80.94,overcast clouds,4.7717,33.5903,Eastgate Hotel
382,Barra Do Garcas,BR,79.56,clear sky,-15.89,-52.2567,Pousada Tropical
397,El Bagre,CO,87.4,few clouds,7.5927,-74.8086,Hotel Real
400,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
402,Sorong,ID,79.65,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
411,Magdalena,PH,82.35,broken clouds,14.1999,121.429,Samparada & Gestiada Residences
415,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
424,Vanimo,PG,80.69,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
425,Champerico,GT,86.54,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
427,Kavieng,PG,84.81,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
431,Koumac,NC,75.24,overcast clouds,-20.5667,164.2833,Le Monitel
435,Bogalusa,US,89.82,broken clouds,30.791,-89.8487,Traveler's Rest Motel
438,Marsh Harbour,BS,78.1,clear sky,26.5412,-77.0636,Abaco Beach Resort
446,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
448,Mattru,SL,75.76,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
451,Ca Mau,VN,80.06,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
452,Ugoofaaru,MV,84.58,overcast clouds,5.6667,73.0,Ungoofaaru Inn
454,Doka,SD,88.65,broken clouds,13.5167,35.7667,Um Rakuba Refugee Camp
455,Meulaboh,ID,77.13,overcast clouds,4.1363,96.1285,Kost Pria
467,Maragogi,BR,76.37,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
468,Kimbe,PG,80.78,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
473,La Primavera,CO,82.53,scattered clouds,5.4906,-70.4092,La Riviera Hotel Colonial
484,Kieta,PG,81.86,light rain,-6.2167,155.6333,Uruna Bay Retreat
485,Harper,LR,79.18,light rain,4.375,-7.7169,Screensaver
490,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
495,Isla Mujeres,MX,87.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
497,Pathein,MM,79.16,overcast clouds,16.7833,94.7333,Pathein Hotel
501,Manokwari,ID,81.12,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
505,Yabassi,CM,76.69,overcast clouds,4.457,9.9682,MOTEL FOMI
507,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
510,Srandakan,ID,77.41,overcast clouds,-7.9386,110.2506,Puri Brata
527,Buraydah,SA,79.25,few clouds,26.326,43.975,Mövenpick Qassim
531,Eyl,SO,83.19,scattered clouds,7.9803,49.8164,Amiin Hotel
535,Tiarei,PF,84.22,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
536,Qeshm,IR,84.09,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
538,Buala,SB,83.12,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
541,Aswan,EG,85.3,clear sky,24.0934,32.907,Nuba Nile
547,Englewood,US,76.15,broken clouds,39.6478,-104.9878,InTown Suites Extended Stay Denver CO - Englewood
549,Calamar,CO,85.69,broken clouds,10.2511,-74.9146,Hostal Katyalex
552,Nago,JP,75.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
553,Thongwa,MM,82.56,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
557,Oriximina,BR,76.01,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
559,Sierra Vista,US,86.5,haze,31.5545,-110.3037,Gateway Studio Suites
560,Bocas Del Toro,PA,83.86,clear sky,9.3333,-82.25,Hotel Bocas del Toro
573,Razole,IN,78.19,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
580,Pundaguitan,PH,77.43,heavy intensity rain,6.3711,126.1689,Leonardo Family Beach House 1
582,Mogadishu,SO,81.9,broken clouds,2.0371,45.3438,Hotel Juba
588,Basco,PH,83.14,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
590,Dickson,US,75.96,clear sky,36.077,-87.3878,East Hills Bed & Breakfast Inn
596,Wahiawa,US,79.12,overcast clouds,21.5028,-158.0236,The Inn At Schofield
605,Santa Isabel Do Rio Negro,BR,76.26,scattered clouds,-0.4139,-65.0192,Hotel GSA
606,Mana,GF,78.04,broken clouds,5.6592,-53.7767,LE SAMANA
613,Kudahuvadhoo,MV,84.04,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
614,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
619,Searcy,US,79.14,broken clouds,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
620,Karratha,AU,75.22,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
623,Nabire,ID,78.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
624,Tautira,PF,80.8,light rain,-17.7333,-149.15,Pension Oaoa
628,Umm Lajj,SA,80.67,broken clouds,25.0213,37.2685,Moon light Furnished Units
630,Hobyo,SO,82.99,light rain,5.3505,48.5268,Iftin hotel hobyo
633,Cartagena,CO,89.22,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
636,Waingapu,ID,79.11,few clouds,-9.6567,120.2641,Pondok Wisata Elim
646,Sabang,ID,82.67,overcast clouds,5.8933,95.3214,Hotel Citra
648,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
657,Malakal,SS,87.67,overcast clouds,9.5334,31.6605,Nile Palace Hotel
662,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
667,Carauari,BR,76.42,scattered clouds,-4.8828,-66.8958,Hotel Fellip
668,Bayshore Gardens,US,87.28,clear sky,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
669,Baracoa,CU,84.63,clear sky,20.3467,-74.4958,Hostal Rio Miel
